name,url,stargazers,watchers,forkCount,isFork,commitComments,releases,createdAt,primaryLanguage
d2l-zh,https://github.com/d2l-ai/d2l-zh,16514,805,4227,False,22,10,2017-08-23T04:40:24Z,Python
python-fire,https://github.com/google/python-fire,16462,376,1013,False,9,5,2017-02-21T21:35:07Z,Python
airflow,https://github.com/apache/airflow,16036,674,6127,False,360,15,2015-04-13T18:04:58Z,Python
Mask_RCNN,https://github.com/matterport/Mask_RCNN,16021,563,7559,False,36,3,2017-10-19T20:28:34Z,Python
spaCy,https://github.com/explosion/spaCy,16013,562,2837,False,36,65,2014-07-03T15:15:40Z,Python
pytorch-tutorial,https://github.com/yunjey/pytorch-tutorial,15898,534,5007,False,1,0,2017-03-10T07:41:47Z,Python
ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,15698,804,3028,False,3,0,2017-02-05T12:11:23Z,Python
macOS-Security-and-Privacy-Guide,https://github.com/drduh/macOS-Security-and-Privacy-Guide,15638,712,1121,False,17,0,2015-08-31T03:36:35Z,Python
Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,15627,501,2848,False,1,0,2019-05-26T08:56:15Z,Python
glances,https://github.com/nicolargo/glances,15485,513,1027,False,79,19,2011-12-04T08:49:15Z,Python
ZeroNet,https://github.com/HelloZeroNet/ZeroNet,15484,851,2005,False,91,22,2015-01-12T00:41:38Z,Python
black,https://github.com/psf/black,15168,169,853,False,19,2,2018-03-14T19:54:45Z,Python
NLP-progress,https://github.com/sebastianruder/NLP-progress,14929,1185,2541,False,6,2,2018-06-22T17:43:55Z,Python
GitHub-Chinese-Top-Charts,https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts,14826,818,1971,False,0,0,2019-09-05T03:01:56Z,Python
hosts,https://github.com/StevenBlack/hosts,14814,555,1323,False,83,210,2012-04-12T20:22:50Z,Python
magenta,https://github.com/tensorflow/magenta,14767,826,3005,False,7,40,2016-05-05T20:10:40Z,Python
celery,https://github.com/celery/celery,14597,502,3635,False,227,4,2009-04-24T11:31:24Z,Python
pyspider,https://github.com/binux/pyspider,14168,900,3455,False,31,13,2014-02-21T19:18:47Z,Python
TensorFlow-Course,https://github.com/machinelearningmindset/TensorFlow-Course,14134,809,2823,False,1,1,2018-10-02T18:10:12Z,Python
algo,https://github.com/wangzheng0822/algo,14078,689,4390,False,26,0,2018-09-24T05:33:46Z,Python
ipython,https://github.com/ipython/ipython,14071,819,3967,False,214,28,2010-05-10T04:46:06Z,Python
wechat_jump_game,https://github.com/wangshub/wechat_jump_game,13922,590,4633,False,79,2,2017-12-29T02:00:19Z,Python
tqdm,https://github.com/tqdm/tqdm,13695,176,707,False,112,79,2015-06-03T13:13:14Z,Python
Awesome-Linux-Software,https://github.com/luong-komorebi/Awesome-Linux-Software,13687,503,1397,False,11,0,2016-08-06T13:16:29Z,Python
sanic,https://github.com/huge-success/sanic,13580,466,1267,False,43,26,2016-05-26T04:38:22Z,Python
PySnooper,https://github.com/cool-RR/PySnooper,13321,224,838,False,29,0,2019-04-18T13:55:43Z,Python
PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,13229,818,4132,False,0,1,2016-10-18T07:29:07Z,Python
bitcoinbook,https://github.com/bitcoinbook/bitcoinbook,13090,994,3805,False,48,3,2013-08-11T23:18:28Z,Python
luigi,https://github.com/spotify/luigi,13051,509,2098,False,185,46,2012-09-20T15:06:38Z,Python
bokeh,https://github.com/bokeh/bokeh,13029,471,3296,False,267,0,2012-03-26T15:40:01Z,Python
DeepFaceLab,https://github.com/iperov/DeepFaceLab,12997,554,3002,False,51,4,2018-06-04T13:10:00Z,Python
nginx-proxy,https://github.com/nginx-proxy/nginx-proxy,12750,291,2307,False,15,0,2014-05-05T17:01:40Z,Python
locust,https://github.com/locustio/locust,12278,427,1744,False,27,20,2011-02-17T11:08:03Z,Python
examples,https://github.com/pytorch/examples,12234,386,5750,False,45,0,2016-08-24T03:12:48Z,Python
CheatSheetSeries,https://github.com/OWASP/CheatSheetSeries,12222,412,1720,False,21,0,2018-12-21T14:26:43Z,Python
fabric,https://github.com/fabric/fabric,12120,518,1794,False,69,0,2009-05-01T01:14:24Z,Python
wxpy,https://github.com/youfou/wxpy,11926,551,2116,False,18,14,2017-02-20T18:20:46Z,Python
python-cheatsheet,https://github.com/gto76/python-cheatsheet,11687,452,2389,False,1,0,2018-01-25T04:16:53Z,Python
cookiecutter,https://github.com/cookiecutter/cookiecutter,11439,240,1239,False,29,16,2013-07-14T18:31:22Z,Python
powerline,https://github.com/powerline/powerline,11339,288,868,False,104,18,2012-06-12T12:48:40Z,Python
zulip,https://github.com/zulip/zulip,11321,363,3639,False,163,44,2015-09-25T16:37:25Z,Python
pytorch-CycleGAN-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,11267,306,3281,False,11,0,2017-04-18T10:33:05Z,Python
gpt-2,https://github.com/openai/gpt-2,11259,504,2718,False,5,0,2019-02-11T04:21:59Z,Python
fastapi,https://github.com/tiangolo/fastapi,11171,192,682,False,53,77,2018-12-08T08:21:47Z,Python
cookiecutter,https://github.com/cookiecutter/cookiecutter,11439,240,1239,False,29,16,2013-07-14T18:31:22Z,Python
powerline,https://github.com/powerline/powerline,11339,288,868,False,104,18,2012-06-12T12:48:40Z,Python
zulip,https://github.com/zulip/zulip,11321,363,3639,False,163,44,2015-09-25T16:37:25Z,Python
pytorch-CycleGAN-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,11267,306,3281,False,11,0,2017-04-18T10:33:05Z,Python
gpt-2,https://github.com/openai/gpt-2,11259,504,2718,False,5,0,2019-02-11T04:21:59Z,Python
fastapi,https://github.com/tiangolo/fastapi,11171,192,682,False,53,77,2018-12-08T08:21:47Z,Python
py12306,https://github.com/pjialin/py12306,11156,327,2977,False,2,1,2019-01-07T18:04:11Z,Python
dash,https://github.com/plotly/dash,11144,383,1137,False,23,14,2015-04-10T01:53:08Z,Python
awesome-python-login-model,https://github.com/Kr1s77/awesome-python-login-model,11114,363,2358,False,4,0,2019-01-20T10:43:13Z,Python
material-theme,https://github.com/equinusocio/material-theme,11057,263,798,False,59,88,2015-06-01T16:41:04Z,Python
