MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,{'totalCount': 95032},{'totalCount': 117}
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis/public-apis,https://github.com/public-apis/public-apis,{'totalCount': 81662},{'totalCount': 128}
MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,{'totalCount': 71388},{'totalCount': 292}
MDEwOlJlcG9zaXRvcnk1MTExNzgzNw==,tensorflow/models,https://github.com/tensorflow/models,{'totalCount': 63659},{'totalCount': 5294}
MDEwOlJlcG9zaXRvcnk4Mzg0NDcyMA==,ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,{'totalCount': 34099},{'totalCount': 985}
MDEwOlJlcG9zaXRvcnk4MTU5ODk2MQ==,python/cpython,https://github.com/python/cpython,{'totalCount': 31023},{'totalCount': 0}
MDEwOlJlcG9zaXRvcnkxMTQ3NDcyMjY=,deepfakes/faceswap,https://github.com/deepfakes/faceswap,{'totalCount': 30414},{'totalCount': 597}
MDEwOlJlcG9zaXRvcnk1ODAyODAzOA==,521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,{'totalCount': 29711},{'totalCount': 1186}
MDEwOlJlcG9zaXRvcnkxMzk4MjQ0MjM=,Avik-Jain/100-Days-Of-ML-Code,https://github.com/Avik-Jain/100-Days-Of-ML-Code,{'totalCount': 28593},{'totalCount': 0}
MDEwOlJlcG9zaXRvcnk5MTU3MzUzOA==,testerSunshine/12306,https://github.com/testerSunshine/12306,{'totalCount': 28419},{'totalCount': 624}
MDEwOlJlcG9zaXRvcnkxOTExMTM3Mzk=,0voice/interview_internal_reference,https://github.com/0voice/interview_internal_reference,{'totalCount': 26722},{'totalCount': 36}
MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=,huggingface/transformers,https://github.com/huggingface/transformers,{'totalCount': 26542},{'totalCount': 2915}
MDEwOlJlcG9zaXRvcnk3MDkwNTQ3OA==,floodsung/Deep-Learning-Papers-Reading-Roadmap,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,{'totalCount': 26154},{'totalCount': 41}
