MDEwOlJlcG9zaXRvcnkxMDExMzgzMTU=,d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,{'totalCount': 17069},{'totalCount': 0}
MDEwOlJlcG9zaXRvcnk4MjcyOTUyOQ==,google/python-fire,https://github.com/google/python-fire,{'totalCount': 16797},{'totalCount': 165}
MDEwOlJlcG9zaXRvcnkxMDc1OTUyNzA=,matterport/Mask_RCNN,https://github.com/matterport/Mask_RCNN,{'totalCount': 16619},{'totalCount': 1951}
MDEwOlJlcG9zaXRvcnkyOTA5NDI5,nicolargo/glances,https://github.com/nicolargo/glances,{'totalCount': 15887},{'totalCount': 1201}
MDEwOlJlcG9zaXRvcnk0MTY1NDA4MQ==,drduh/macOS-Security-and-Privacy-Guide,https://github.com/drduh/macOS-Security-and-Privacy-Guide,{'totalCount': 15792},{'totalCount': 214}
MDEwOlJlcG9zaXRvcnkyOTExMjA0OQ==,HelloZeroNet/ZeroNet,https://github.com/HelloZeroNet/ZeroNet,{'totalCount': 15666},{'totalCount': 1951}
MDEwOlJlcG9zaXRvcnkxMzgzMzE1NzM=,sebastianruder/NLP-progress,https://github.com/sebastianruder/NLP-progress,{'totalCount': 15505},{'totalCount': 78}
MDEwOlJlcG9zaXRvcnk1ODE1NzYyOQ==,tensorflow/magenta,https://github.com/tensorflow/magenta,{'totalCount': 15021},{'totalCount': 679}
MDEwOlJlcG9zaXRvcnk3MTIyMDc1Nw==,swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,{'totalCount': 14424},{'totalCount': 41}
MDEwOlJlcG9zaXRvcnkzNjgwNDQ4Ng==,tqdm/tqdm,https://github.com/tqdm/tqdm,{'totalCount': 14384},{'totalCount': 623}
MDEwOlJlcG9zaXRvcnkxMTU2NzU3ODg=,wangshub/wechat_jump_game,https://github.com/wangshub/wechat_jump_game,{'totalCount': 13914},{'totalCount': 984}
MDEwOlJlcG9zaXRvcnk2NTA4MzMxNg==,luong-komorebi/Awesome-Linux-Software,https://github.com/luong-komorebi/Awesome-Linux-Software,{'totalCount': 13905},{'totalCount': 99}
MDEwOlJlcG9zaXRvcnkxMzYwMjY3ODk=,iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,{'totalCount': 13842},{'totalCount': 642}
MDEwOlJlcG9zaXRvcnkxNjA5MTkxMTk=,tiangolo/fastapi,https://github.com/tiangolo/fastapi,{'totalCount': 13409},{'totalCount': 966}
MDEwOlJlcG9zaXRvcnkzODM0MzMy,bokeh/bokeh,https://github.com/bokeh/bokeh,{'totalCount': 13321},{'totalCount': 5883}
MDEwOlJlcG9zaXRvcnkxMjA0NDEzMg==,bitcoinbook/bitcoinbook,https://github.com/bitcoinbook/bitcoinbook,{'totalCount': 13241},{'totalCount': 263}
MDEwOlJlcG9zaXRvcnkxOTQ2MzYyNQ==,nginx-proxy/nginx-proxy,https://github.com/nginx-proxy/nginx-proxy,{'totalCount': 13054},{'totalCount': 1046}
MDEwOlJlcG9zaXRvcnk2NjQyNDg3MQ==,pytorch/examples,https://github.com/pytorch/examples,{'totalCount': 12793},{'totalCount': 402}
MDEwOlJlcG9zaXRvcnkxMzc3ODY3,locustio/locust,https://github.com/locustio/locust,{'totalCount': 12660},{'totalCount': 880}
MDEwOlJlcG9zaXRvcnkxNjI3MjMxMDQ=,OWASP/CheatSheetSeries,https://github.com/OWASP/CheatSheetSeries,{'totalCount': 12592},{'totalCount': 142}
MDEwOlJlcG9zaXRvcnkxODk4NDA=,fabric/fabric,https://github.com/fabric/fabric,{'totalCount': 12215},{'totalCount': 1583}
MDEwOlJlcG9zaXRvcnkxMTQwNzI0Mg==,cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter,{'totalCount': 11863},{'totalCount': 556}
MDEwOlJlcG9zaXRvcnk4ODYxMjk0NQ==,junyanz/pytorch-CycleGAN-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,{'totalCount': 11767},{'totalCount': 922}
MDEwOlJlcG9zaXRvcnk0NjM3MjIx,powerline/powerline,https://github.com/powerline/powerline,{'totalCount': 11546},{'totalCount': 1348}
MDEwOlJlcG9zaXRvcnkxNjI5OTg0Nzk=,sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,{'totalCount': 11445},{'totalCount': 286}
MDEwOlJlcG9zaXRvcnkxMzg1MTIy,matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,{'totalCount': 11368},{'totalCount': 6515}
