id,nameWithOwner,url,createdAt,stargazers,all_issues,closed_issues
MDEwOlJlcG9zaXRvcnk3MTIyMDc1Nw==,swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,2016-10-18T07:29:07Z,14597,43,36
MDEwOlJlcG9zaXRvcnkxNTEzMDA4NjI=,machinelearningmindset/TensorFlow-Course,https://github.com/machinelearningmindset/TensorFlow-Course,2018-10-02T18:10:12Z,14413,10,10
MDEwOlJlcG9zaXRvcnkxMzYwMjY3ODk=,iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,2018-06-04T13:10:00Z,14111,650,585
MDEwOlJlcG9zaXRvcnk2NTA4MzMxNg==,luong-komorebi/Awesome-Linux-Software,https://github.com/luong-komorebi/Awesome-Linux-Software,2016-08-06T13:16:29Z,13936,99,92
MDEwOlJlcG9zaXRvcnkxMTU2NzU3ODg=,wangshub/wechat_jump_game,https://github.com/wangshub/wechat_jump_game,2017-12-29T02:00:19Z,13913,984,958
MDEwOlJlcG9zaXRvcnk1OTcyMDE5MA==,huge-success/sanic,https://github.com/huge-success/sanic,2016-05-26T04:38:22Z,13771,875,822
MDEwOlJlcG9zaXRvcnkxNjA5MTkxMTk=,tiangolo/fastapi,https://github.com/tiangolo/fastapi,2018-12-08T08:21:47Z,13729,989,800
MDEwOlJlcG9zaXRvcnkxODIwOTczMDU=,cool-RR/PySnooper,https://github.com/cool-RR/PySnooper,2019-04-18T13:55:43Z,13444,96,81
MDEwOlJlcG9zaXRvcnk2NjQyNDg3MQ==,pytorch/examples,https://github.com/pytorch/examples,2016-08-24T03:12:48Z,12892,404,210
MDEwOlJlcG9zaXRvcnkxMTg4NjEyNzY=,gto76/python-cheatsheet,https://github.com/gto76/python-cheatsheet,2018-01-25T04:16:53Z,12694,12,9
MDEwOlJlcG9zaXRvcnkxNjI3MjMxMDQ=,OWASP/CheatSheetSeries,https://github.com/OWASP/CheatSheetSeries,2018-12-21T14:26:43Z,12642,143,106
MDEwOlJlcG9zaXRvcnk4MjU4ODU5Nw==,youfou/wxpy,https://github.com/youfou/wxpy,2017-02-20T18:20:46Z,12173,422,132
MDEwOlJlcG9zaXRvcnk4ODYxMjk0NQ==,junyanz/pytorch-CycleGAN-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,2017-04-18T10:33:05Z,11848,929,726
MDEwOlJlcG9zaXRvcnkxNzAwNjcyNDY=,openai/gpt-2,https://github.com/openai/gpt-2,2019-02-11T04:21:59Z,11706,189,116
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,95309,117,33
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis/public-apis,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,81986,128,123
MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,71767,296,287
MDEwOlJlcG9zaXRvcnk1MTExNzgzNw==,tensorflow/models,https://github.com/tensorflow/models,2016-02-05T01:15:20Z,63716,5300,4493
MDEwOlJlcG9zaXRvcnk4Mzg0NDcyMA==,ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,2017-03-03T21:52:39Z,34133,986,509
MDEwOlJlcG9zaXRvcnk4MTU5ODk2MQ==,python/cpython,https://github.com/python/cpython,2017-02-10T19:23:51Z,31069,0,0
