idtitlecreatedAtclosedAtclosed
MDU6SXNzdWUxNDM3NDk2ODQ=Get trader to profitability in at least one market2016-03-26T21:14:05ZFalse
MDU6SXNzdWUxNDM3NTQxNTQ=Seed Database2016-03-26T22:13:28Z2016-03-28T16:06:31ZTrue
MDU6SXNzdWUxNDM3OTE4Mzk=Database Setup2016-03-27T09:28:02Z2016-03-28T16:29:19ZTrue
MDU6SXNzdWUxNDM4MTc4MzE=LISCENSE file2016-03-27T15:11:12Z2016-03-28T16:22:02ZTrue
MDU6SXNzdWUxNDM4MTc5MzQ=Ideas for managing fees2016-03-27T15:12:47ZFalse
MDU6SXNzdWUxNDM4MTgzOTU=settings.SECRET_KEY2016-03-27T15:19:24ZFalse
MDU6SXNzdWUxNDM4MTg2OTc=debate about human nature, the merits of open source software, and contributor motivations2016-03-27T15:21:18ZFalse
MDU6SXNzdWUxNDM4MjAzNTU=Investigate Adding social semantics2016-03-27T15:30:05ZFalse
MDU6SXNzdWUxNDM4MjM1MTE=All timezones in UTC2016-03-27T16:05:11ZFalse
MDU6SXNzdWUxNDM4MzAzMzI=Prior research2016-03-27T17:25:45ZFalse
MDU6SXNzdWUxNDM4NTEyODg=NameError: name 'DEBUG_APPS' is not defined2016-03-27T21:43:45Z2016-03-28T13:28:14ZTrue
MDU6SXNzdWUxNDM4NzE2NTQ=Migrations do not migrate2016-03-28T01:57:41Z2016-03-28T13:26:07ZTrue
MDU6SXNzdWUxNDM4OTU0NDQ=Contributions Business Model2016-03-28T05:16:31ZFalse
MDU6SXNzdWUxNDM5Mjc2Nzc=wont migrate; django error2016-03-28T08:38:02Z2016-03-28T13:28:06ZTrue
MDU6SXNzdWUxNDM5ODA2NDU=look into three fold cross validation2016-03-28T13:43:17ZFalse
MDU6SXNzdWUxNDM5ODA3NjI=automate the process of selecting strategies for a given market.  2016-03-28T13:43:58ZFalse
MDU6SXNzdWUxNDM5ODA4MDY=map temporal or spatial nature of the data dependencies2016-03-28T13:44:14ZFalse
MDU6SXNzdWUxNDM5ODA5NDU=add more data as inputs2016-03-28T13:45:09ZFalse
MDU6SXNzdWUxNDM5ODEwODA=smart selection of size of bets2016-03-28T13:46:01ZFalse
MDU6SXNzdWUxNDM5ODExNDI=admin charts become a little slow after 1 month of running the software2016-03-28T13:46:29ZFalse
MDU6SXNzdWUxNDQwMTYyMzI=pytrader.slack.com signup2016-03-28T16:15:32ZFalse
MDU6SXNzdWUxNDQwNDA3NzA=Shared Reference Implementation2016-03-28T18:04:35ZFalse
MDU6SXNzdWUxNDQ0MDAyNzg=make sure admin panels work when no trades, deposits, or history exist2016-03-29T21:53:59Z2016-03-31T01:10:12ZTrue
MDU6SXNzdWUxNDQ3NDM5NDQ=docker container2016-03-30T23:02:57Z2016-04-05T14:39:44ZTrue
MDU6SXNzdWUxNDQ3NDc5OTM=kernel unicode issue2016-03-30T23:30:39Z2016-03-30T23:31:18ZTrue
MDU6SXNzdWUxNDQ5NDU2NzE=Support BTCC2016-03-31T16:09:05Z2016-03-31T16:39:30ZTrue
MDU6SXNzdWUxNDQ5NDg5MTc=Documentation on how to optimize the NN/classifiers2016-03-31T16:23:38Z2016-04-03T21:43:17ZTrue
MDU6SXNzdWUxNDQ5NzU2ODY=Correlations Study2016-03-31T18:05:57ZFalse
MDU6SXNzdWUxNDUxODE0MTg=Further analysis of initial results2016-04-01T13:31:50ZFalse
MDU6SXNzdWUxNDUxODU2OTc=Trade Model Evaluation ideas2016-04-01T13:50:35ZFalse
MDU6SXNzdWUxNDUyNzk4Njk=FIX Engine2016-04-01T20:36:47ZFalse
MDU6SXNzdWUxNDUzODg2Mjc=Web UI for non-python audience2016-04-02T16:06:04ZFalse
MDU6SXNzdWUxNDUzOTMwNDI=Incentive structures for a successful pytrader2016-04-02T16:44:24ZFalse
MDU6SXNzdWUxNDU1MjAyMDU=`/admin/optimize` graphs are not helpful2016-04-03T17:19:14ZFalse
MDU6SXNzdWUxNDU1MjMzMTE=Manage fees when pytrader takes multiple positions in the same instrument in different directions2016-04-03T17:50:07Z2016-04-04T13:03:37ZTrue
MDU6SXNzdWUxNDU1NjI2Mjg=support for `ClassifierTests`.`datasetinputs` != 22016-04-04T01:34:28Z2016-04-06T15:32:45ZTrue
MDU6SXNzdWUxNDU1ODkxNTc=Documentation on cryptocurrency market trading strategies2016-04-04T05:30:50ZFalse
MDU6SXNzdWUxNDU1ODk3Mjg=Profile jobs2016-04-04T05:35:07ZFalse
MDU6SXNzdWUxNDU3MTQwNjc=UnboundLocalError when accessing /admin/optimize2016-04-04T15:14:27Z2016-04-04T15:33:23ZTrue
MDU6SXNzdWUxNDU3MTk3NjQ=Documentation Request: Machine Learning Core Concepts Cheatsheet2016-04-04T15:32:39ZFalse
MDU6SXNzdWUxNDU3MjA2NTM=Machine Learning Core Contributor2016-04-04T15:35:35ZFalse
MDU6SXNzdWUxNDU4NDEyMTQ=Setting Up on Docker Cloud2016-04-05T00:15:38ZFalse
MDU6SXNzdWUxNDYwMzA2OTM=Wrong requirement versions2016-04-05T15:51:35ZFalse
MDU6SXNzdWUxNDYzNjI5MTA=linting standard2016-04-06T16:16:26Z2016-04-18T13:36:39ZTrue
MDU6SXNzdWUxNDc0ODczOTU=Saving training/evaluation error on django models2016-04-11T16:47:20ZFalse
MDU6SXNzdWUxNTI0NjI2ODY=classifier images 2016-05-01T23:35:52ZFalse
MDU6SXNzdWUxNzM5ODkyMDA=Active Project?2016-08-30T10:57:02ZFalse
MDU6SXNzdWUxODU2NTU3NDI=Error  ------docker exec -it pytrader_web_1 /root/pytrader/scripts/load_newest_data.sh2016-10-27T12:34:52Z2016-10-28T09:54:53ZTrue
MDU6SXNzdWUxODg5NTUxOTI=AttributeError: 'module' object has no attribute 'getmro'2016-11-13T06:30:56ZFalse
