idtitlecreatedAtclosedAtclosed
MDU6SXNzdWUyNjQyNDM2NTM=Possible Invalid PDF for Runtime Polymorphism Talk?2017-10-10T14:11:46Z2017-10-10T19:27:27ZTrue
MDU6SXNzdWUyNjQyODA2NDQ="""So, you inherited a large code base..."" is missing"2017-10-10T15:48:56Z2017-10-11T01:30:05ZTrue
MDU6SXNzdWUyNjQ1MDE1NTY="""Going Nowhere Faster"" is missing"2017-10-11T08:40:29ZFalse
MDU6SXNzdWUyNjY2NDQzMTY=missing Naked Coroutines Live slides2017-10-18T21:15:01Z2017-10-23T21:29:41ZTrue
MDU6SXNzdWUyNzI1NTc4MjI=Cannot find Chandler Charruth's Talks2017-11-09T13:07:18ZFalse
MDU6SXNzdWUzMzM1NjE4NzY=Cannot find Bryce Lelbach’s 2-part talk2018-06-19T08:07:12ZFalse
MDU6SXNzdWUzMzgzNjA2NDc=Are the projects available anywhere?2018-07-04T19:20:40Z2018-09-27T15:25:08ZTrue
MDU6SXNzdWUzODM4NzU5MTY=“Designing a Fast, Efficient, Cache-friendly Hash Table, Step by Step” is missing2018-11-23T16:14:09ZFalse
MDU6SXNzdWU0MDcyMTY5ODI=Cannot find slides from Diego Rodriguez-Losada Gonzalez2019-02-06T12:41:39ZFalse
