idtitlecreatedAtclosedAtclosed
MDU6SXNzdWU0MTkyNDEzMTA=RxPY2019-03-10T22:27:51Z2020-04-21T08:33:03ZTrue
MDU6SXNzdWU0NTA5NjMzNTY=Is this article on scope?2019-05-31T20:12:03Z2019-09-30T09:57:31ZTrue
MDU6SXNzdWU0NzE4NzIyNDQ=Include Pampy?2019-07-23T18:53:50Z2019-09-30T10:04:22ZTrue
MDU6SXNzdWU0NzIxOTE1NjM=Include unpythonic: Lisp/Haskell features for Python?2019-07-24T09:59:53Z2019-09-30T10:04:58ZTrue
MDU6SXNzdWU2MTEzNjAwMDU=Algebraic data types for Python 2020-05-03T08:19:18Z2020-05-06T07:00:56ZTrue
