idtitlecreatedAtclosedAtclosed
MDU6SXNzdWUyMzU5MjYzNjk=Need a few SummaryWriter -> FileWriter changes2017-06-14T15:49:49Z2017-06-15T21:11:41ZTrue
MDU6SXNzdWUyMzY1NTgzODE=Feature Request: Add an optional command-line argument for a prefix URL2017-06-16T18:24:49Z2017-09-13T00:02:03ZTrue
MDU6SXNzdWUyMzY1NTg3NzM=Improve TensorBoard embeddings search2017-06-16T18:26:25ZFalse
MDU6SXNzdWUyMzY1NTk0MDA=Feature: scalar chart export as SVG/LaTeX/pgfplots2017-06-16T18:29:19ZFalse
MDU6SXNzdWUyMzY1NjA2NDU=Enable text-selection (for copy/paste) of tf.summary.text items2017-06-16T18:34:38Z2017-06-30T00:51:04ZTrue
MDU6SXNzdWUyMzY1NjA4MjI=TensorBoard Streaming Mode2017-06-16T18:35:20ZFalse
MDU6SXNzdWUyMzY1NjE2MjQ=Can't load >5 Audio summaries, Broken pipe error2017-06-16T18:38:48Z2019-12-19T00:36:01ZTrue
MDU6SXNzdWUyMzY1NjE5ODA=Don't unnecessarily reset y domain on line charts.2017-06-16T18:40:20Z2017-06-16T21:36:47ZTrue
MDU6SXNzdWUyMzY1NjIwNjU=load data from relative path with the projector plugin2017-06-16T18:40:42ZFalse
MDU6SXNzdWUyMzY1NjI0ODg=Audio thumbnails/summaries in the embedding visualization2017-06-16T18:42:29Z2017-06-19T19:35:44ZTrue
MDU6SXNzdWUyMzY1NjMzODc=Video summary support2017-06-16T18:46:23ZFalse
MDU6SXNzdWUyMzY1NjQwMjQ=Hide empty panes in TensorBoard2017-06-16T18:49:07ZFalse
MDU6SXNzdWUyMzY1NjQ2NzQ=Unexpected categorizer output regarding underscores2017-06-16T18:51:56Z2017-06-27T01:04:27ZTrue
MDU6SXNzdWUyMzY1NjUxNDk=[Windows] TensorBoard doesn't work2017-06-16T18:53:57Z2019-03-01T17:41:50ZTrue
MDU6SXNzdWUyMzY1NjUzMDM=PIP: Don't lock markdown version to 2.2.02017-06-16T18:54:37ZFalse
MDU6SXNzdWUyMzY1NjU0MDQ=Embedding projector forces square aspect ratio2017-06-16T18:54:59Z2017-06-19T19:04:30ZTrue
MDU6SXNzdWUyMzY1NjY5MDc=Polarized gradient in tensorboard embeddings2017-06-16T19:01:18Z2017-06-19T19:52:43ZTrue
MDU6SXNzdWUyMzY1NjcxOTU=Make TensorBoard aware of hyperparameters2017-06-16T19:02:34ZFalse
MDU6SXNzdWUyMzY1NjgwNjc=Graph visualizer's run selection menu clips content2017-06-16T19:06:20Z2018-10-01T21:42:49ZTrue
MDU6SXNzdWUyMzY1Njg5NjY=TensorBoard graph key does not match documentation2017-06-16T19:10:20Z2018-09-27T23:08:04ZTrue
MDU6SXNzdWUyMzY1Njk5Njk=tensorboard not able to read large event file (~600MB)2017-06-16T19:14:56ZFalse
MDU6SXNzdWUyMzY1NzAwNDY=Support SVGs on the image dashboard2017-06-16T19:15:15ZFalse
MDU6SXNzdWUyMzY1NzA2MDM=Backslash-separated logdir paths have issues on Windows2017-06-16T19:18:05Z2017-12-06T03:29:01ZTrue
MDU6SXNzdWUyMzY1NzA4Mjk=TensorBoard doesn't respect drive names on Windows2017-06-16T19:19:07Z2017-12-06T03:31:55ZTrue
MDU6SXNzdWUyMzY1NzExODY=[DASHBOARD] Static Variable Display Tab2017-06-16T19:20:42ZFalse
MDU6SXNzdWUyMzY1NzEzODY=Tensorboard has wrong logdir on Windows2017-06-16T19:21:37Z2017-06-22T18:11:31ZTrue
MDU6SXNzdWUyMzY1NzEzOTU=Scalars dashboard should hide tags with no selected runs2017-06-16T19:21:39Z2018-09-13T17:55:30ZTrue
MDU6SXNzdWUyMzY1NzE0NTc=Tensorboard Graph vizualisation crashes with Chrome/Safari2017-06-16T19:21:56Z2018-10-01T23:20:14ZTrue
MDU6SXNzdWUyMzY1NzI1MjI="""Logarithmic scale"" is not actually logarithmic for sub-unit values"2017-06-16T19:26:48Z2018-10-24T23:31:26ZTrue
MDU6SXNzdWUyMzY1NzM2MTg=Re-enable explicit control of summary tag2017-06-16T19:31:50Z2019-08-14T04:49:08ZTrue
MDU6SXNzdWUyMzY1NzM3ODA=[TensorBoard] Charts in TensorBoard in Safari don't display correctly2017-06-16T19:32:32ZFalse
MDU6SXNzdWUyMzY1NzM5ODE="Embedding Projector: ""Color by"" drop-down not showing up on multi-column .tsv"2017-06-16T19:33:31ZFalse
MDU6SXNzdWUyMzY1NzQ1NDE=Make TensorBoard side bar resizable?2017-06-16T19:36:10ZFalse
MDU6SXNzdWUyMzY1NzUxOTk=Embedding Projector: show vector labels on custom projection view2017-06-16T19:39:04Z2017-06-19T19:39:50ZTrue
MDU6SXNzdWUyMzY1NzYxNTY=Compress audio summaries with OGG or similar2017-06-16T19:43:41ZFalse
MDU6SXNzdWUyMzY1NzY1MjE=Warn on the frontend when the backend is not finished loading summaries2017-06-16T19:45:25ZFalse
MDU6SXNzdWUyMzY1NzY1NjA=Allow for users to download SVG snapshots of the graph explorer.2017-06-16T19:45:36ZFalse
MDU6SXNzdWUyMzY1NzY2NDQ=Shouldn't tensorboard warn you that not all summaries have loaded yet?2017-06-16T19:45:59Z2017-06-16T19:46:51ZTrue
MDU6SXNzdWUyMzY1Nzc0MzE=TensorBoard demo server doesn't work2017-06-16T19:49:29Z2017-06-16T19:54:15ZTrue
MDU6SXNzdWUyMzY1NzgzNjE=tensorboard server: base_url support2017-06-16T19:53:48Z2017-08-26T09:45:35ZTrue
MDU6SXNzdWUyMzY1Nzg5ODk=Support ignoring certain directories under the logdir2017-06-16T19:56:40ZFalse
MDU6SXNzdWUyMzY1NzkzNDk="""Cannot read property 'toString' of undefined"" in embeddings projector"2017-06-16T19:58:20ZFalse
MDU6SXNzdWUyMzY1ODAzNzQ=Document events file format2017-06-16T20:03:05Z2019-12-19T00:38:47ZTrue
MDU6SXNzdWUyMzY1ODE1MTU="TensorBoard Embeddings fail if a ""+"" character is in LOG_DIR subdirectory filename"2017-06-16T20:08:40ZFalse
MDU6SXNzdWUyMzY1ODE1ODI=Allow programmatically configuring the graph visualization2017-06-16T20:09:04ZFalse
MDU6SXNzdWUyMzY1ODE4MDM=Add labels to scalar summaries.2017-06-16T20:10:01ZFalse
MDU6SXNzdWUyMzY1ODI2ODI=TensorBoard feature request: Search for Node.2017-06-16T20:14:07Z2018-04-13T23:59:31ZTrue
MDU6SXNzdWUyMzY1ODI3OTY=Scalars: Simple Way of Setting y axis to start at 02017-06-16T20:14:44ZFalse
MDU6SXNzdWUyMzY1ODM2OTE=Order runs in projector drop-down menu2017-06-16T20:19:15ZFalse
MDU6SXNzdWUyMzY1ODM4NDA=Embedding Projector: some metadata unsearchable2017-06-16T20:19:54ZFalse
MDU6SXNzdWUyMzY1ODQ4ODc=Refresh Backend when frontend refreshes2017-06-16T20:24:56ZFalse
MDU6SXNzdWUyMzY1ODU2MTQ=Create a deep visualization toolbox2017-06-16T20:28:14ZFalse
MDU6SXNzdWUyMzY1ODc0ODE=Specify which scopes are removed from TensorBoard main graph by default2017-06-16T20:34:50ZFalse
MDU6SXNzdWUyMzY1OTEyNjM=tf.summary.text fails keeping summaries2017-06-16T20:43:39Z2017-12-06T23:09:43ZTrue
MDU6SXNzdWUyMzY2MDAwNjc=Embedding Projector needs docs and demo code2017-06-16T21:24:19ZFalse
MDU6SXNzdWUyMzY2MDEyNjI=TensorBoard histograms NaN value handling2017-06-16T21:31:14ZFalse
MDU6SXNzdWUyMzY2MDQxNTg=Graph PNGs for large graphs are too small to be useful.2017-06-16T21:40:01Z2017-08-16T23:31:22ZTrue
MDU6SXNzdWUyMzY2MDc2MDc=Tensorboard 0.0.0.0:6006 cannot work On Win7 but localhost:6006 works2017-06-16T21:50:48Z2019-12-19T00:59:31ZTrue
MDU6SXNzdWUyMzY2MDkyMzU=Distorted scalar charts on Firefox after toggling expand and log scale2017-06-16T22:00:42Z2018-10-01T23:29:36ZTrue
MDU6SXNzdWUyMzY2MTAzNzM=Productionize TensorBoard2017-06-16T22:08:03Z2018-04-07T07:26:29ZTrue
MDU6SXNzdWUyMzY2MTA3OTY=Tensorboard Summaries in Re-entered Scopes2017-06-16T22:10:41ZFalse
MDU6SXNzdWUyMzY2MTUzMzE=Load data button on projector2017-06-16T22:42:28Z2017-06-17T23:25:59ZTrue
MDU6SXNzdWUyMzc3NjQ4NDU=TF 1.2: 'TextSummaryPluginAsset' object has no attribute 'name'2017-06-22T08:12:51Z2017-06-22T18:12:42ZTrue
MDU6SXNzdWUyMzc3ODYwNTc=Scalar Graph zoom/scaling resets after update.2017-06-22T09:33:51Z2019-07-31T09:37:51ZTrue
MDU6SXNzdWUyMzc4MDIwODA=Wrong links to TensorBoard Readme in tf-no-data-warning.html page2017-06-22T10:34:54Z2017-06-22T18:13:52ZTrue
MDU6SXNzdWUyMzc4OTkyOTg=Tensorboard doesn't show data when logs on different drive2017-06-22T16:16:54Z2017-06-22T18:11:16ZTrue
MDU6SXNzdWUyMzc5Mzg0NjU=TensorBoard Master's capstone project2017-06-22T18:48:17Z2017-08-16T17:50:41ZTrue
MDU6SXNzdWUyMzgyNTk5ODI=Ignore outliers setting can hide entire series2017-06-23T21:39:03Z2017-07-06T17:52:10ZTrue
MDU6SXNzdWUyMzgzMjY0MTM=Ability to copy a link to a particular run selection state2017-06-24T16:15:02ZFalse
MDU6SXNzdWUyMzg2MzgyNzA=Show version string in TensorBoard UI2017-06-26T19:01:24ZFalse
MDU6SXNzdWUyMzg2NDM5Njc=TensorBoard very slow on GCS2017-06-26T19:24:13Z2019-12-17T23:26:31ZTrue
MDU6SXNzdWUyMzg2NzMzNzk=Feature Request: Visualizing Attention Weights of Attention Wrapper2017-06-26T21:21:27ZFalse
