idtitlecreatedAtclosedAtclosed
MDU6SXNzdWUxOTE5NzY4NTg=Suggestion: Conway's Game of Life2016-11-28T11:03:09Z2016-12-07T21:48:04ZTrue
MDU6SXNzdWUyNDY0NzI0MTk=Missing image in 2d-hyperbolic-tilings2017-07-28T22:20:49Z2017-07-29T08:07:11ZTrue
MDU6SXNzdWUyNDY4MTE5NDg=Projects to be added in this repo2017-07-31T16:16:29Z2017-09-28T03:54:41ZTrue
MDU6SXNzdWUyODkyOTYwNDc=Error when runing e8.py 2018-01-17T15:00:00Z2018-02-23T02:48:44ZTrue
MDU6SXNzdWUzMjYwNjExMDE=[Feature request]Universal Random Structures in 2D2018-05-24T10:32:23Z2018-05-24T13:40:16ZTrue
MDU6SXNzdWUzODI3MjE3MjY=Question about gifmaze module and pypi2018-11-20T15:40:17Z2018-11-21T08:31:48ZTrue
MDU6SXNzdWU0MTM2MDk5NzA=Create a Contributing and Code of Conduct file 2019-02-22T22:50:39Z2019-02-26T02:05:14ZTrue
